Time,NodeId,X,Y,IsLeader
0,0,710.803,57.1614,1
0,1,528.005,264.143,1
0,2,244.962,104.626,1
0,3,747.549,251.232,1
0,4,194.648,53.3341,1
0,5,812.28,316.797,0
0,6,278.287,767.165,0
0,7,496.347,873.22,0
0,8,838.446,480.824,0
0,9,45.8672,589.491,0
0,10,776.534,807.424,0
0,11,12.9794,241.658,0
0,12,294.79,174.319,0
0,13,851.598,73.7218,0
0,14,676.051,219.486,0
0,15,902.537,942.732,0
0,16,33.9252,52.3967,0
0,17,896.918,955.965,0
0,18,0.197764,684.61,0
0,19,911.588,121.186,0
0.1,0,709.995,57.3984,1
0.1,1,528.258,263.838,1
0.1,2,244.651,104.319,1
0.1,3,747.972,250.666,1
0.1,4,194.518,54.0697,1
0.1,5,812.939,317.301,0
0.1,6,277.383,766.976,0
0.1,7,496.202,872.545,0
0.1,8,839.428,480.181,0
0.1,9,45.6754,589.439,0
0.1,10,777.292,808.225,0
0.1,11,12.1546,242.093,0
0.1,12,294.022,173.622,0
0.1,13,851.244,74.5085,0
0.1,14,675.704,219.197,0
0.1,15,902.795,942.7,0
0.1,16,34.2357,51.4642,0
0.1,17,896.953,956.046,0
0.1,18,0.594439,684.833,0
0.1,19,912.409,121.289,0
0.2,0,709.108,57.6965,1
0.2,1,528.545,263.628,1
0.2,2,244.37,104.106,1
0.2,3,748.318,250.164,1
0.2,4,194.401,54.9041,1
0.2,5,813.551,317.654,0
0.2,6,276.479,766.788,0
0.2,7,496.057,871.87,0
0.2,8,840.411,479.537,0
0.2,9,45.4835,589.388,0
0.2,10,778.05,809.027,0
0.2,11,11.3298,242.529,0
0.2,12,293.327,172.997,0
0.2,13,850.891,75.2951,0
0.2,14,675.462,218.876,0
0.2,15,903.051,942.633,0
0.2,16,34.5463,50.5317,0
0.2,17,896.989,956.158,0
0.2,18,0.991114,685.056,0
0.2,19,913.231,121.393,0
0.3,0,708.141,58.0559,1
0.3,1,528.864,263.511,1
0.3,2,244.12,103.989,1
0.3,3,748.586,249.725,1
0.3,4,194.3,55.8375,1
0.3,5,814.112,317.889,0
0.3,6,275.576,766.6,0
0.3,7,495.912,871.195,0
0.3,8,841.394,478.894,0
0.3,9,45.2916,589.336,0
0.3,10,778.808,809.828,0
0.3,11,10.505,242.964,0
0.3,12,292.699,172.449,0
0.3,13,850.537,76.0818,0
0.3,14,675.296,218.537,0
0.3,15,903.305,942.539,0
0.3,16,34.8568,49.5992,0
0.3,17,897.027,956.295,0
0.3,18,1.38779,685.279,0
0.3,19,914.052,121.497,0
0.4,0,707.095,58.4765,1
0.4,1,529.216,263.489,1
0.4,2,243.901,103.967,1
0.4,3,748.778,249.35,1
0.4,4,194.212,56.8699,1
0.4,5,814.617,318.032,0
0.4,6,274.672,766.412,0
0.4,7,495.767,870.52,0
0.4,8,842.376,478.25,0
0.4,9,45.0998,589.285,0
0.4,10,779.566,810.629,0
0.4,11,9.68015,243.4,0
0.4,12,292.132,171.979,0
0.4,13,850.184,76.8685,0
0.4,14,675.183,218.193,0
0.4,15,903.559,942.422,0
0.4,16,35.1674,48.6668,0
0.4,17,897.064,956.451,0
0.4,18,1.78446,685.502,0
0.4,19,914.873,121.6,0
0.5,0,705.971,58.9584,1
0.5,1,529.602,263.561,1
0.5,2,243.712,104.041,1
0.5,3,748.892,249.038,1
0.5,4,194.14,58.0012,1
0.5,5,815.063,318.107,0
0.5,6,273.768,766.224,0
0.5,7,495.622,869.845,0
0.5,8,843.359,477.607,0
0.5,9,44.9079,589.233,0
0.5,10,780.324,811.43,0
0.5,11,8.85533,243.835,0
0.5,12,291.621,171.591,0
0.5,13,849.83,77.6551,0
0.5,14,675.105,217.854,0
0.5,15,903.812,942.288,0
0.5,16,35.478,47.7343,0
0.5,17,897.102,956.624,0
0.5,18,2.18114,685.725,0
0.5,19,915.694,121.704,0
0.6,0,704.767,59.5016,1
0.6,1,530.02,263.728,1
0.6,2,243.554,104.209,1
0.6,3,748.93,248.791,1
0.6,4,194.082,59.2314,1
0.6,5,815.449,318.134,0
0.6,6,272.864,766.035,0
0.6,7,495.477,869.17,0
0.6,8,844.341,476.963,0
0.6,9,44.7161,589.182,0
0.6,10,781.082,812.231,0
0.6,11,8.0305,244.271,0
0.6,12,291.164,171.287,0
0.6,13,849.476,78.4418,0
0.6,14,675.044,217.528,0
0.6,15,904.064,942.138,0
0.6,16,35.7885,46.8018,0
0.6,17,897.139,956.809,0
0.6,18,2.57781,685.948,0
0.6,19,916.516,121.807,0
0.7,0,703.485,60.1062,1
0.7,1,530.472,263.989,1
0.7,2,243.427,104.473,1
0.7,3,748.89,248.607,1
0.7,4,194.038,60.5605,1
0.7,5,815.77,318.129,0
0.7,6,271.961,765.847,0
0.7,7,495.332,868.495,0
0.7,8,845.324,476.32,0
0.7,9,44.5242,589.13,0
0.7,10,781.84,813.033,0
0.7,11,7.20568,244.706,0
0.7,12,290.756,171.067,0
0.7,13,849.123,79.2284,0
0.7,14,674.986,217.224,0
0.7,15,904.316,941.977,0
0.7,16,36.0991,45.8693,0
0.7,17,897.176,957.005,0
0.7,18,2.97449,686.171,0
0.7,19,917.337,121.911,0
0.8,0,702.123,60.7722,1
0.8,1,530.956,264.345,1
0.8,2,243.331,104.832,1
0.8,3,748.773,248.486,1
0.8,4,194.009,61.9886,1
0.8,5,816.026,318.106,0
0.8,6,271.057,765.659,0
0.8,7,495.187,867.82,0
0.8,8,846.307,475.677,0
0.8,9,44.3323,589.079,0
0.8,10,782.598,813.834,0
0.8,11,6.38086,245.142,0
0.8,12,290.395,170.935,0
0.8,13,848.769,80.0151,0
0.8,14,674.92,216.947,0
0.8,15,904.569,941.807,0
0.8,16,36.4096,44.9369,0
0.8,17,897.213,957.209,0
0.8,18,3.37116,686.394,0
0.8,19,918.158,122.014,0
0.9,0,700.683,61.4998,1
0.9,1,531.473,264.795,1
0.9,2,243.265,105.286,1
0.9,3,748.58,248.43,1
0.9,4,193.995,63.5156,1
0.9,5,816.214,318.079,0
0.9,6,270.153,765.471,0
0.9,7,495.042,867.145,0
0.9,8,847.289,475.033,0
0.9,9,44.1405,589.028,0
0.9,10,783.356,814.635,0
0.9,11,5.55604,245.577,0
0.9,12,290.078,170.89,0
0.9,13,848.415,80.8018,0
0.9,14,674.834,216.704,0
0.9,15,904.821,941.629,0
0.9,16,36.7202,44.0044,0
0.9,17,897.249,957.42,0
0.9,18,3.76784,686.617,0
0.9,19,918.979,122.118,0
1,0,699.164,62.2888,1
1,1,532.023,265.339,1
1,2,243.23,105.835,1
1,3,748.309,248.437,1
1,4,193.996,65.1416,1
1,5,816.334,318.056,0
1,6,269.25,765.283,0
1,7,494.897,866.471,0
1,8,848.272,474.39,0
1,9,43.9486,588.976,0
1,10,784.114,815.436,0
1,11,4.73121,246.013,0
1,12,289.804,170.935,0
1,13,848.062,81.5884,0
1,14,674.721,216.498,0
1,15,905.073,941.445,0
1,16,37.0307,43.0719,0
1,17,897.285,957.637,0
1,18,4.16451,686.84,0
1,19,919.801,122.221,0
1.1,0,697.566,63.1395,1
1.1,1,532.605,265.978,1
1.1,2,243.226,106.479,1
1.1,3,747.962,248.509,1
1.1,4,194.011,66.8664,1
1.1,5,816.383,318.048,0
1.1,6,268.346,765.094,0
1.1,7,494.752,865.796,0
1.1,8,849.255,473.746,0
1.1,9,43.7567,588.925,0
1.1,10,784.872,816.238,0
1.1,11,3.90639,246.448,0
1.1,12,289.57,171.069,0
1.1,13,847.708,82.3751,0
1.1,14,674.572,216.333,0
1.1,15,905.326,941.255,0
1.1,16,37.3413,42.1394,0
1.1,17,897.321,957.857,0
1.1,18,4.56119,687.063,0
1.1,19,920.622,122.325,0
1.2,0,695.889,64.0518,1
1.2,1,533.221,266.712,1
1.2,2,243.252,107.218,1
1.2,3,747.537,248.644,1
1.2,4,194.04,68.6902,1
1.2,5,816.361,318.062,0
1.2,6,267.442,764.906,0
1.2,7,494.607,865.121,0
1.2,8,850.237,473.103,0
1.2,9,43.5649,588.873,0
1.2,10,785.63,817.039,0
1.2,11,3.08157,246.884,0
1.2,12,289.375,171.294,0
1.2,13,847.355,83.1618,0
1.2,14,674.382,216.214,0
1.2,15,905.578,941.062,0
1.2,16,37.6519,41.207,0
1.2,17,897.356,958.081,0
1.2,18,4.95786,687.286,0
1.2,19,921.443,122.429,0
1.3,0,694.134,65.0258,1
1.3,1,533.869,267.54,1
1.3,2,243.31,108.053,1
1.3,3,747.036,248.843,1
1.3,4,194.085,70.6128,1
1.3,5,816.268,318.103,0
1.3,6,266.538,764.718,0
1.3,7,494.462,864.446,0
1.3,8,851.22,472.459,0
1.3,9,43.373,588.822,0
1.3,10,786.388,817.84,0
1.3,11,2.25674,247.319,0
1.3,12,289.218,171.611,0
1.3,13,847.001,83.9484,0
1.3,14,674.145,216.142,0
1.3,15,905.83,940.865,0
1.3,16,37.9624,40.2745,0
1.3,17,897.391,958.308,0
1.3,18,5.35454,687.509,0
1.3,19,922.264,122.532,0
1.4,0,692.3,66.0615,1
1.4,1,534.55,268.462,1
1.4,2,243.398,108.982,1
1.4,3,746.458,249.106,1
1.4,4,194.144,72.6344,1
1.4,5,816.101,318.177,0
1.4,6,265.635,764.53,0
1.4,7,494.317,863.771,0
1.4,8,852.202,471.816,0
1.4,9,43.1812,588.77,0
1.4,10,787.146,818.641,0
1.4,11,1.43192,247.755,0
1.4,12,289.098,172.019,0
1.4,13,846.647,84.7351,0
1.4,14,673.858,216.121,0
1.4,15,906.083,940.666,0
1.4,16,38.273,39.342,0
1.4,17,897.425,958.537,0
1.4,18,5.75121,687.732,0
1.4,19,923.086,122.636,0
1.5,0,690.387,67.1591,1
1.5,1,535.263,269.48,1
1.5,2,243.518,110.007,1
1.5,3,745.803,249.433,1
1.5,4,194.218,74.7549,1
1.5,5,815.862,318.29,0
1.5,6,264.731,764.342,0
1.5,7,494.172,863.096,0
1.5,8,853.185,471.173,0
1.5,9,42.9893,588.719,0
1.5,10,787.904,819.442,0
1.5,11,0.607096,248.19,0
1.5,12,289.013,172.52,0
1.5,13,846.294,85.5218,0
1.5,14,673.515,216.152,0
1.5,15,906.335,940.464,0
1.5,16,38.5835,38.4095,0
1.5,17,897.46,958.768,0
1.5,18,6.14789,687.955,0
1.5,19,923.907,122.739,0
1.6,0,688.396,68.3184,1
1.6,1,536.008,270.591,1
1.6,2,243.668,111.127,1
1.6,3,745.071,249.825,1
1.6,4,194.307,76.9742,1
1.6,5,815.548,318.444,0
1.6,6,263.827,764.153,0
1.6,7,494.027,862.421,0
1.6,8,854.168,470.529,0
1.6,9,42.7974,588.667,0
1.6,10,788.663,820.244,0
1.6,11,999.782,248.626,0
1.6,12,288.964,173.114,0
1.6,13,845.94,86.3084,0
1.6,14,673.113,216.237,0
1.6,15,906.588,940.261,0
1.6,16,38.8941,37.4771,0
1.6,17,897.494,959,0
1.6,18,6.54456,688.178,0
1.6,19,924.728,122.843,0
1.7,0,686.326,69.5397,1
1.7,1,536.787,271.797,1
1.7,2,243.849,112.342,1
1.7,3,744.263,250.28,1
