Sistema de Colas Simple

Tiempo promedio de llegada      8.700 minutos

Tiempo promedio de atencion           6.100 minutos

Numero de clientes          1000



Tiempos entre llegadas:
Cliente 1:  8.349 minutos
Cliente 2: 14.676 minutos
Cliente 3:  3.799 minutos
Cliente 4:  9.178 minutos
Cliente 5:  0.819 minutos
Cliente 6:  6.485 minutos
Cliente 7:  2.821 minutos
Cliente 8: 11.049 minutos
Cliente 9:  2.432 minutos
Cliente 10: 32.676 minutos
Cliente 11: 11.419 minutos
Cliente 12: 25.274 minutos
Cliente 13: 10.221 minutos
Cliente 14: 14.048 minutos
Cliente 15:  7.506 minutos
Cliente 16: 34.276 minutos
Cliente 17:  0.059 minutos
Cliente 18:  0.943 minutos
Cliente 19:  1.396 minutos
Cliente 20: 10.239 minutos
Cliente 21:  0.949 minutos
Cliente 22:  5.017 minutos
Cliente 23:  7.536 minutos
Cliente 24: 15.447 minutos
Cliente 25:  2.162 minutos
Cliente 26:  4.811 minutos
Cliente 27: 21.383 minutos
Cliente 28: 13.294 minutos
Cliente 29: 16.281 minutos
Cliente 30: 13.110 minutos
Cliente 31:  9.981 minutos
Cliente 32:  0.504 minutos
Cliente 33: 17.662 minutos
Cliente 34: 24.260 minutos
Cliente 35: 20.790 minutos
Cliente 36: 21.420 minutos
Cliente 37:  4.790 minutos
Cliente 38:  1.155 minutos
Cliente 39:  3.119 minutos
Cliente 40: 13.372 minutos
Cliente 41: 13.808 minutos
Cliente 42: 11.899 minutos
Cliente 43: 15.596 minutos
Cliente 44:  0.359 minutos
Cliente 45:  6.086 minutos
Cliente 46:  2.954 minutos
Cliente 47:  4.177 minutos
Cliente 48:  8.731 minutos
Cliente 49:  9.607 minutos
Cliente 50:  6.319 minutos
Cliente 51:  8.807 minutos
Cliente 52:  0.796 minutos
Cliente 53:  4.086 minutos
Cliente 54:  5.882 minutos
Cliente 55: 16.023 minutos
Cliente 56:  5.088 minutos
Cliente 57: 11.054 minutos
Cliente 58:  4.716 minutos
Cliente 59:  2.580 minutos
Cliente 60: 22.835 minutos
Cliente 61: 10.606 minutos
Cliente 62: 19.732 minutos
Cliente 63:  3.189 minutos
Cliente 64:  1.213 minutos
Cliente 65: 19.429 minutos
Cliente 66:  2.516 minutos
Cliente 67:  1.658 minutos
Cliente 68:  0.609 minutos
Cliente 69:  3.245 minutos
Cliente 70:  5.343 minutos
Cliente 71:  3.384 minutos
Cliente 72:  1.513 minutos
Cliente 73:  1.716 minutos
Cliente 74: 11.385 minutos
Cliente 75:  7.941 minutos
Cliente 76:  3.319 minutos
Cliente 77: 20.123 minutos
Cliente 78:  3.367 minutos
Cliente 79:  5.417 minutos
Cliente 80: 24.706 minutos
Cliente 81:  4.824 minutos
Cliente 82:  4.777 minutos
Cliente 83:  1.611 minutos
Cliente 84:  1.927 minutos
Cliente 85: 20.785 minutos
Cliente 86:  9.515 minutos
Cliente 87:  3.663 minutos
Cliente 88:  0.675 minutos
Cliente 89:  0.326 minutos
Cliente 90:  4.188 minutos
Cliente 91:  2.029 minutos
Cliente 92:  0.114 minutos
Cliente 93: 11.420 minutos
Cliente 94: 24.243 minutos
